Source page: http://www.buccaneers.com/team-and-stats/roster.html,,,,,,,,
name_link,name_link/_text,number,pos_value,ht_number,wt_number,age_number,exp_value,college_value
http://www.buccaneers.com/team-and-stats/roster/Kwon-Alexander/10afb2f0-1ad4-431b-87bb-27805ce964af,"Alexander, Kwon",58,LB,6; 1,227,20,R,Louisiana State
http://www.buccaneers.com/team-and-stats/roster/Josh-Allen/ca454ae7-91b7-48cb-b391-7994eedcad65,"Allen, Josh",61,C,6; 3,315,23,1,Louisiana-Monroe
http://www.buccaneers.com/team-and-stats/roster/Quinton-Alston/4674f1e9-8c9b-4e9a-8c65-245b3b12dfce,"Alston, Quinton",59,LB,6; 1,232,21,R,Iowa
http://www.buccaneers.com/team-and-stats/roster/Johnthan-Banks/540db16e-0ad4-4ca4-8372-ff126aba9fa2,"Banks, Johnthan",27,CB,6; 2,185,25,3,Mississippi State
http://www.buccaneers.com/team-and-stats/roster/Kenny-Bell/5fba90a6-90e8-4edf-a556-9889dbd85fd7,"Bell, Kenny",80,WR,6; 1,197,23,R,Nebraska
http://www.buccaneers.com/team-and-stats/roster/Brandon-Bogotay/4b4175f8-95a7-4881-be37-84b39261a94c,"Bogotay, Brandon",1,K,6; 3,207,26,1,Georgia
http://www.buccaneers.com/team-and-stats/roster/Cameron-Brate/f4c7cf50-595c-4824-a91d-6ebf00c89775,"Brate, Cameron",84,TE,6; 5,235,23,1,Harvard
http://www.buccaneers.com/team-and-stats/roster/Dominique-Brown/7f9dd79e-b10c-4353-b02b-4d81da23d2aa,"Brown, Dominique",32,RB,6; 2,241,23,R,Louisville
http://www.buccaneers.com/team-and-stats/roster/Quayshawne-Buckley/5876904a-c535-44a3-be6b-1d574fa50cf3,"Buckley, Quayshawne",77,DT,6; 3,305,23,R,Idaho
http://www.buccaneers.com/team-and-stats/roster/Bruce-Carter/abd8760f-be81-4a30-a086-ba403ac69bd5,"Carter, Bruce",50,LB,6; 2,240,27,5,North Carolina
http://www.buccaneers.com/team-and-stats/roster/Courtland-Clavette/cdd287b1-4bb0-4e69-99b3-03a5a62e0db2,"Clavette, Courtland",44,LS,6; 3,235,21,R,Brown
http://www.buccaneers.com/team-and-stats/roster/Kaelin-Clay/10942625-4058-44bd-b4b9-e713dddbef0e,"Clay, Kaelin",14,WR,5; 10,195,23,R,Utah
http://www.buccaneers.com/team-and-stats/roster/Chris-Conte/a4ac78aa-05fd-47f6-8877-a9a70c08a833,"Conte, Chris",23,S,6; 2,203,26,5,California
http://www.buccaneers.com/team-and-stats/roster/Edawn-Coughman/0bb39530-229f-4fc2-a84c-984949ac1d7f,"Coughman, Edawn",78,T,6; 4,313,26,1,Shaw
http://www.buccaneers.com/team-and-stats/roster/Lavonte-David/d0d64add-3d02-4ce9-a432-dd0e6e0aa465,"David, Lavonte",54,LB,6; 1,233,25,4,Nebraska
http://www.buccaneers.com/team-and-stats/roster/Larry-Dean/794241e0-f3bc-4825-9206-04841d05ed02,"Dean, Larry",53,LB,6; 0,226,26,5,Valdosta State
http://www.buccaneers.com/team-and-stats/roster/Ryan-Delaire/9e9437b0-41bc-4284-a199-e6c7edc8f076,"Delaire, Ryan",75,DE,6; 4,264,23,R,Towson
http://www.buccaneers.com/team-and-stats/roster/Andrew-DePaola/8a7d21ff-2dda-4407-960c-bc2d23ac9b14,"DePaola, Andrew",48,LS,6; 2,230,27,2,Rutgers
http://www.buccaneers.com/team-and-stats/roster/Brandon-Dixon/1ba59333-6acc-44a8-b944-0c5c579804c8,"Dixon, Brandon",39,CB,5; 11,203,25,2,Northwest Missouri State
http://www.buccaneers.com/team-and-stats/roster/Demar-Dotson/77fef637-b98d-452f-a70b-1d9936bdaa6c,"Dotson, Demar",69,T,6; 9,315,29,7,Southern Miss
http://www.buccaneers.com/team-and-stats/roster/Donteea-Dye/abbfd224-3e73-4422-b240-afa13847a688,"Dye, Donteea",17,WR,6; 0,195,21,R,Heidelberg
http://www.buccaneers.com/team-and-stats/roster/Kadeem-Edwards/7d979fd0-e8a1-4ad1-943d-10b0e40d0daa,"Edwards, Kadeem",73,G,6; 4,313,24,2,Tennessee State
http://www.buccaneers.com/team-and-stats/roster/Larry-English/6587aaad-0740-410c-9b03-0f724b45b575,"English, Larry",57,DE,6; 2,255,29,7,Northern Illinois
http://www.buccaneers.com/team-and-stats/roster/Mike-Evans/dc043721-caea-47d5-9575-fa1f0b9b3e24,"Evans, Mike",13,WR,6; 5,231,21,2,Texas A&M
http://www.buccaneers.com/team-and-stats/roster/Antoine-Everett/d11ba94c-5aed-4e86-8a11-030a98432d1e,"Everett, Antoine",67,G,6; 3,325,23,R,McNeese State
http://www.buccaneers.com/team-and-stats/roster/Deshazor-Everett/e126b1d8-1068-4549-975e-b0a9f3733066,"Everett, Deshazor",38,CB,6; 0,193,23,R,Texas A&M
http://www.buccaneers.com/team-and-stats/roster/T.J.-Fatinikun/6e3f7d3c-53e1-4dd7-a534-6487285c8e4c,"Fatinikun, T.J.",96,DE,6; 2,250,23,2,Toledo
http://www.buccaneers.com/team-and-stats/roster/Reid-Fragel/fd66457c-b10a-4752-be9e-18a4ff6410e5,"Fragel, Reid",79,T,6; 8,308,24,2,Ohio State
http://www.buccaneers.com/team-and-stats/roster/Isaiah-Frey/0d03fbc4-0119-469d-a0d8-8bb408f6e79c,"Frey, Isaiah",28,CB,6; 0,190,25,3,Nevada
http://www.buccaneers.com/team-and-stats/roster/William-Gholston/e30e2897-5d68-4713-951c-a920641463a9,"Gholston, William",92,DE,6; 6,281,23,3,Michigan State
http://www.buccaneers.com/team-and-stats/roster/Garrett-Gilkey/f3df3339-c9d2-4e70-95e1-296d8d451e73,"Gilkey, Garrett",72,OL,6; 6,315,24,3,Chadron State
http://www.buccaneers.com/team-and-stats/roster/Mike-Glennon/e2d9173b-4bbe-4ce5-919d-0bc12d25898b,"Glennon, Mike",8,QB,6; 6,225,25,3,North Carolina State
http://www.buccaneers.com/team-and-stats/roster/Khaseem-Greene/9679070f-5a1d-4fda-93da-74da76c49cc3,"Greene, Khaseem",44,LB,6; 1,241,26,3,Rutgers
http://www.buccaneers.com/team-and-stats/roster/Chris-Hackett/4c110b08-bdd1-43c6-a1f3-f533efffd3f3,"Hackett, Chris",35,S,6; 2,195,21,R,TCU
http://www.buccaneers.com/team-and-stats/roster/Rannell-Hall/795300d6-cbc5-4002-8082-3a434411df88,"Hall, Rannell",16,WR,6; 1,200,22,R,Central Florida
http://www.buccaneers.com/team-and-stats/roster/Robert-Herron/5918e82d-e053-4bf2-8daf-940301ee4abb,"Herron, Robert",10,WR,5; 9,193,23,2,Wyoming
http://www.buccaneers.com/team-and-stats/roster/Adam-Humphries/25782a0d-ada3-4132-956a-4f70a4fbd90b,"Humphries, Adam",11,WR,5; 11,195,22,R,Clemson
http://www.buccaneers.com/team-and-stats/roster/Joey-Iosefa/4a59d3a7-a469-4632-984c-4a79a14be828,"Iosefa, Joey",33,FB,6; 0,245,24,R,Hawaii
http://www.buccaneers.com/team-and-stats/roster/Vincent-Jackson/6ac93195-bd4b-4adb-ba7e-6709230ba9a7,"Jackson, Vincent",83,WR,6; 5,230,32,11,Northern Colorado
http://www.buccaneers.com/team-and-stats/roster/Mike-James/afb93120-8438-49f2-b20b-cc7440245de4,"James, Mike",25,RB,5; 10,223,24,3,Miami (Fla.)
http://www.buccaneers.com/team-and-stats/roster/Mike-Jenkins/2fa748fc-3af1-439f-ac7b-6f8a63c54fc2,"Jenkins, Mike",24,CB,5; 10,197,30,8,South Florida
http://www.buccaneers.com/team-and-stats/roster/George-Johnson/7fb6d582-a755-4d8b-ad59-f61825e8d4cc,"Johnson, George",94,DE,6; 4,265,27,4,Rutgers
http://www.buccaneers.com/team-and-stats/roster/Leonard-Johnson/36e0f8a0-be0d-4426-a924-b1d1311f1e2f,"Johnson, Leonard",29,CB,5; 10,202,25,4,Iowa State
http://www.buccaneers.com/team-and-stats/roster/Josh-Keyes/31f2b847-df42-4d51-8697-8652d09d22b8,"Keyes, Josh",49,LB,6; 2,223,22,R,Boston College
http://www.buccaneers.com/team-and-stats/roster/Tavarres-King/bc9c97b4-dbea-4e63-b58c-1627b4eeb846,"King, Tavarres",15,WR,6; 1,200,24,2,Georgia
http://www.buccaneers.com/team-and-stats/roster/Michael-Koenen/542252a5-80fe-46dc-b633-d6c921c0ec83,"Koenen, Michael",9,P,5; 11,198,32,11,Western Washington
http://www.buccaneers.com/team-and-stats/roster/Jared-Koster/01bd424c-dc1b-464a-8067-512b2b575c09,"Koster, Jared",71,LB,6; 1,210,24,R,New Mexico Highlands
http://www.buccaneers.com/team-and-stats/roster/Jorvorskie-Lane/f83de78c-4b0b-4202-8167-b2c6b0eff504,"Lane, Jorvorskie",46,FB,5; 11,258,28,3,Texas A&M
http://www.buccaneers.com/team-and-stats/roster/Spencer-Lanning/e0651b1a-2ae7-4b89-b4e5-7f7ebf3319ee,"Lanning, Spencer",5,P,5; 11,200,27,3,South Carolina
http://www.buccaneers.com/team-and-stats/roster/Danny-Lansanah/91029ec7-a120-4e1d-9dbd-f0517daa8aee,"Lansanah, Danny",51,LB,6; 1,255,29,3,Connecticut
http://www.buccaneers.com/team-and-stats/roster/Orie-Lemon/87f2dfad-8e27-47f1-abb2-5725fc540b6a,"Lemon, Orie",45,LB,6; 1,242,27,5,Oklahoma State
http://www.buccaneers.com/team-and-stats/roster/Seth-Lobato/89c04f07-c432-4b63-9dd0-3bf95707a693,"Lobato, Seth",4,QB,6; 6,223,24,1,Northern Colorado
http://www.buccaneers.com/team-and-stats/roster/Caushaud-Lyons/5a0e3324-0cce-4fb3-8f09-1292097b14fa,"Lyons, Caushaud",68,DT,6; 5,295,22,R,Tusculum
http://www.buccaneers.com/team-and-stats/roster/Logan-Mankins/e429a529-d7f3-4a52-8f1f-689e52db3716,"Mankins, Logan",70,G,6; 4,308,33,11,Fresno State
http://www.buccaneers.com/team-and-stats/roster/Ali-Marpet/6532253e-3f24-462d-a873-4f34bafd9a80,"Marpet, Ali",74,G,6; 4,307,22,R,Hobart
http://www.buccaneers.com/team-and-stats/roster/Doug-Martin/59d34a0a-70d8-43a7-9a70-b25b0e782163,"Martin, Doug",22,RB,5; 9,223,26,4,Boise State
http://www.buccaneers.com/team-and-stats/roster/Matthew-Masifilo/a2447833-5146-4d2e-88d0-2781124c9cc6,"Masifilo, Matthew",65,OL,6; 3,280,25,2,Stanford
http://www.buccaneers.com/team-and-stats/roster/Gerald-McCoy/10bb2de8-ba11-43ab-b888-2df842b03824,"McCoy, Gerald",93,DT,6; 4,300,27,6,Oklahoma
http://www.buccaneers.com/team-and-stats/roster/Clinton-McDonald/38d40f61-76f0-49a7-a1f6-87c8fd95c528,"McDonald, Clinton",98,DT,6; 2,297,28,7,Memphis
http://www.buccaneers.com/team-and-stats/roster/Bradley-McDougald/e70b2a95-9765-4625-8011-b73bc57b2e07,"McDougald, Bradley",30,S,6; 1,209,24,3,Kansas
http://www.buccaneers.com/team-and-stats/roster/Henry-Melton/4c6fab05-e20c-4839-92e0-710c817827f9,"Melton, Henry",90,DT,6; 3,290,28,7,Texas
http://www.buccaneers.com/team-and-stats/roster/Sterling-Moore/d7133e43-f5f2-4eb5-9d53-276610f25485,"Moore, Sterling",26,CB,5; 10,202,25,5,Southern Methodist
http://www.buccaneers.com/team-and-stats/roster/Louis-Murphy/6a5ed991-7db0-4ee9-8642-a379a69ed7fc,"Murphy, Louis",18,WR,6; 2,200,28,7,Florida
http://www.buccaneers.com/team-and-stats/roster/Patrick-Murray/1aa8df56-f9f2-4d18-9c3d-ef6797ab7cb7,"Murray, Patrick",7,K,5; 7,182,24,2,Fordham
http://www.buccaneers.com/team-and-stats/roster/Brandon-Myers/f38d583c-f242-4c02-88be-73daf6de32fe,"Myers, Brandon",82,TE,6; 3,256,29,7,Iowa
http://www.buccaneers.com/team-and-stats/roster/Patrick-Omameh/574b7b60-9618-4431-b29e-d1942efe7de4,"Omameh, Patrick",66,G,6; 4,305,25,3,Michigan
http://www.buccaneers.com/team-and-stats/roster/Kevin-Pamphile/7002e8c5-fede-4bfd-9c5e-d79942c5435d,"Pamphile, Kevin",64,T,6; 5,315,24,2,Purdue
http://www.buccaneers.com/team-and-stats/roster/Bobby-Rainey/04cfd0b2-7f44-45ba-b154-5fd1ee4b0a67,"Rainey, Bobby",43,RB,5; 8,212,27,4,Western Kentucky
http://www.buccaneers.com/team-and-stats/roster/Evan-Rodriguez/3dc5f912-4531-4126-ac56-71a5ca08758e,"Rodriguez, Evan",81,FB/TE,6; 2,239,26,3,Temple
http://www.buccaneers.com/team-and-stats/roster/Austin-Seferian-Jenkins/b15bc87e-17f2-44a7-be6b-96a91c761865,"Seferian-Jenkins, Austin",87,TE,6; 5,260,22,2,Washington
http://www.buccaneers.com/team-and-stats/roster/Russell-Shepard/3a11ab75-5f1a-4f17-85d4-ec80d9fe1106,"Shepard, Russell",89,WR,6; 1,195,24,3,Louisiana State
"http://www.buccaneers.com/team-and-stats/roster/Lawrence,%20Jr.-Sidbury/553e2d70-ed3d-44dc-8f14-54a4e6f5e441","Sidbury, Lawrence, Jr.",91,DE,6; 3,269,29,6,Richmond
http://www.buccaneers.com/team-and-stats/roster/Charles-Sims/a8c9c252-5fbc-43ee-aed4-936e61bf7af6,"Sims, Charles",34,RB,6; 0,211,24,2,West Virginia
http://www.buccaneers.com/team-and-stats/roster/Donovan-Smith/ef10d803-2c71-490b-81fd-4a96846afa1c,"Smith, Donovan",76,T,6; 6,338,22,R,Penn State
http://www.buccaneers.com/team-and-stats/roster/Evan-Smith/ec9f541f-b17d-4017-804d-595bae2a7f26,"Smith, Evan",62,C,6; 2,308,28,6,Idaho State
http://www.buccaneers.com/team-and-stats/roster/Jacquies-Smith/45dc64bd-45d5-40ee-a3fc-9e2f3fe44853,"Smith, Jacquies",56,DE,6; 2,260,25,2,Missouri
http://www.buccaneers.com/team-and-stats/roster/Akeem-Spence/df235cb1-2df6-4d1f-a9a8-3499b8e8e0fb,"Spence, Akeem",97,DT,6; 1,307,23,3,Illinois
http://www.buccaneers.com/team-and-stats/roster/Luke-Stocker/9c4436e7-1490-4c46-b7b2-a5d4c025fa03,"Stocker, Luke",88,TE,6; 6,253,26,5,Tennessee
http://www.buccaneers.com/team-and-stats/roster/D.J.-Swearinger/11e6e051-cf25-465c-b6c8-83b6982a0b6e,"Swearinger, D.J.",36,S,5; 10,208,23,3,South Carolina
http://www.buccaneers.com/team-and-stats/roster/Keith-Tandy/9dda094b-86ae-4f51-8ead-41a4ac154d5a,"Tandy, Keith",37,S,5; 10,205,26,4,West Virginia
http://www.buccaneers.com/team-and-stats/roster/George-Uko/adcb194e-0824-4451-9d67-d8b4a22c64fc,"Uko, George",95,DE,6; 3,284,23,1,USC
http://www.buccaneers.com/team-and-stats/roster/Alterraun-Verner/bd38e90c-5791-41c6-8541-7117ba41aeb6,"Verner, Alterraun",21,CB,5; 10,187,26,6,UCLA
http://www.buccaneers.com/team-and-stats/roster/Jeremiah-Warren/48d4e343-9856-4180-b048-8765c6d749f2,"Warren, Jeremiah",60,C,6; 3,325,27,1,South Florida
http://www.buccaneers.com/team-and-stats/roster/Derrick-Wells/659009e4-d7f4-4dc8-8cc7-3f8f1c421a1c,"Wells, Derrick",2,S,6; 0,201,21,R,Minnesota
http://www.buccaneers.com/team-and-stats/roster/Jason-Williams/f7a0b28d-fdbc-4f2a-b894-2cbb9911c1ab,"Williams, Jason",52,LB,6; 1,245,29,7,Western Illinois
http://www.buccaneers.com/team-and-stats/roster/C.J.-Wilson/33674214-394b-46f6-bf6a-93b61550e926,"Wilson, C.J.",41,CB,5; 11,187,25,2,North Carolina State
http://www.buccaneers.com/team-and-stats/roster/Jameis-Winston/ebadd6a8-cc30-4cd8-a0be-fb410cc45d40,"Winston, Jameis",3,QB,6; 4,231,21,R,Florida State
http://www.buccaneers.com/team-and-stats/roster/Major-Wright/f555a7fe-de5e-4b88-8955-fc597787f106,"Wright, Major",31,S,5; 11,204,27,6,Florida
http://www.buccaneers.com/team-and-stats/roster/Timothy-Wright/6b7930ed-8afd-43c9-aeeb-f57462b42250,"Wright, Timothy",85,TE,6; 4,220,25,3,Rutgers
http://www.buccaneers.com/team-and-stats/roster/Jamal-Young/ed135aff-b783-4917-bdf8-25dddcd9e67e,"Young, Jamal",67,DE,6; 3,240,25,R,Jones Co. Junior College
